A 66  1  30  14
A 130 18 66  76
A 169 4  74  35
A 73  0  24  7
A 92  17 49  65
A 159 21 107 59
A 60  0  30  22
A 39  3  20  11
A 46  2  24  15
A 104 6  57  65
A 109 3  55  62
A 10  1  4   1
A 168 18 73  40
A 163 4  92  70
A 137 20 90  90
A 84  9  42  39
A 168 17 83  56
A 49  6  23  12
A 36  0  19  17
A 98  5  31  30
A 41  1  15  33
A 46  7  32  9
A 40  7  19  30
A 68  2  28  22
A 57  8  34  9
A 140 12 46  41
A 101 14 42  22
A 7   0  1   1
A 168 19 80  39
A 101 12 45  39
A 61  3  24  21
A 177 25 98  70
A 113 24 58  16
A 56  0  27  11
A 3   0  1   2
A 139 31 93  62
A 53  5  29  21
A 142 20 67  45
A 113 1  44  44
A 131 26 69  52
A 122 29 78  91
A 137 26 86  97
A 119 6  57  13
A 103 15 59  39
A 96  4  37  23
A 118 35 70  33
A 238 31 117 53
A 46  7  23  12
A 83  9  50  56
A 82  16 44  47
A 41  12 21  22
A 114 13 67  48
A 83  13 39  16
A 78  7  35  32
A 138 25 76  61
A 148 24 90  77
A 151 17 61  78
A 132 9  69  54
A 49  2  41  18
A 106 16 48  35
A 114 23 67  53
A 37  8  15  15
A 154 22 76  43
A 198 31 101 41
A 51  4  19  11
A 128 16 70  80
A 171 34 91  52
A 118 12 63  30
A 77  14 45  26
A 85  3  30  20
A 139 5  93  69
A 59  16 45  58
A 78  13 37  29
A 120 5  54  31
A 169 21 72  38
A 70  7  22  18
A 99  1  46  29
A 170 40 107 69
A 103 6  48  40
A 69  1  33  25
A 103 2  65  71
A 144 33 85  65
A 200 29 108 32
A 45  0  38  42
A 39  8  18  22
A 183 10 80  32
A 136 7  58  26
A 70  13 32  28
A 61  5  32  26
A 41  4  26  19
A 102 3  56  34
A 93  9  35  23
A 163 27 83  32
A 47  8  24  17
A 39  2  13  16
A 200 20 98  62
A 92  11 54  18
A 73  5  23  16
A 91  12 41  57
A 54  13 28  18
A 43  4  17  22
A 118 28 84  68
A 150 21 69  35
A 147 29 85  71
A 85  24 69  88
A 223 31 119 34
A 70  8  33  27
A 141 11 77  37
A 149 21 89  64
A 84  22 53  38
A 128 28 67  52
A 92  18 42  21
A 146 8  80  46
A 157 20 95  63
A 179 4  94  65
A 131 19 77  34
A 148 14 64  49
A 131 18 68  33
A 88  3  40  19
A 54  3  25  12
A 120 28 71  54
A 60  8  28  18
A 43  10 26  39
A 93  9  43  49
A 137 2  58  12
A 152 18 105 65
A 163 12 88  77
A 135 30 82  55
A 123 9  62  40
A 160 23 86  87
A 56  6  41  21
A 154 6  61  29
A 77  5  35  33
A 96  7  50  39
A 56  4  22  15
A 108 33 75  72
A 68  13 42  45
A 119 16 49  37
A 110 9  45  46
A 160 28 130 89
A 101 18 65  92
A 6   0  2   7
A 82  21 42  35
A 80  1  42  29
A 76  5  35  13
A 52  8  31  17
A 90  11 50  43
A 68  2  32  24
A 101 16 50  22
A 113 20 59  68
A 63  3  25  16
A 163 9  82  62
A 117 29 54  43
A 66  5  20  13
A 112 18 54  35
A 159 3  82  47
A 103 8  53  52
A 122 1  67  51
A 2   0  1   0
A 169 17 88  53
A 76  3  42  20
A 152 23 69  53
A 213 10 91  27
A 63  7  36  44
A 120 17 53  21
A 47  10 21  24
A 46  1  19  17
A 61  4  17  3
A 113 5  76  76
A 207 8  107 105
A 172 22 82  57
A 136 5  76  94
A 126 3  61  52
A 144 9  85  78
A 170 9  77  31
N 81  7  24  39
N 141 20 65  37
N 87  10 39  30
N 37  1  23  21
N 81  6  26  8
N 53  4  31  27
N 113 13 48  47
N 43  7  29  30
N 158 20 89  73
N 32  8  16  14
N 92  16 72  65
N 116 16 60  74
N 73  4  32  22
N 129 10 50  40
N 152 6  92  81
N 108 6  55  22
N 141 27 70  52
N 106 10 38  30
N 60  5  24  15
N 61  1  34  14
N 54  0  21  15
N 57  6  23  14
N 132 7  57  33
N 146 13 71  84
N 53  2  30  23
N 102 18 49  20
N 58  9  28  35
N 78  6  32  12
N 44  6  21  15
N 53  1  31  22
N 37  4  12  14
N 81  3  42  26
N 31  8  18  38
N 97  4  55  39
N 55  5  24  30
N 70  7  49  43
N 163 29 89  75
N 174 31 89  56
N 123 27 76  72
N 69  3  24  29
N 119 13 54  36
N 71  2  27  14
N 115 27 97  68
N 110 15 70  36
N 95  23 55  37
N 76  16 33  37
N 125 24 81  62
N 152 31 91  64
N 64  14 30  24
N 94  4  42  66
N 96  21 49  60
N 77  16 36  41
N 84  11 62  47
N 126 2  42  35
N 158 15 70  42
N 104 14 50  25
N 54  10 30  31
N 39  5  18  15
N 40  4  23  18
N 55  9  34  45
N 133 10 48  55
N 132 21 61  41
N 86  4  33  45
N 95  6  48  20
N 147 23 58  47
N 94  5  37  26
N 100 2  60  28
N 174 7  67  58
N 66  5  31  32
N 76  13 35  25
N 157 16 90  26
N 69  6  32  20
N 101 3  46  61
N 47  5  20  18
N 184 20 83  38
N 58  6  34  22
N 171 13 94  94
N 74  4  34  22
N 161 26 89  66
N 91  12 51  33
N 159 12 72  53
N 136 5  62  83
N 64  0  31  30
N 127 20 66  67
N 127 8  77  58
N 52  9  26  21
N 34  0  20  17
N 54  2  27  33
N 53  4  18  27
N 56  12 22  19
N 93  8  47  30
N 59  6  20  27
N 65  8  30  27
N 71  3  18  36
N 77  19 47  27
N 1   0  0   0
N 94  5  36  62
N 75  6  38  26
N 167 8  89  57
N 110 9  61  32
N 76  7  34  15
N 76  12 35  47
N 84  4  46  21
N 144 0  67  79
N 80  15 45  63
N 83  9  43  30
N 52  0  15  30
N 72  0  33  26
N 70  13 42  44
N 145 11 51  40
N 44  7  28  11
N 135 8  52  52
N 119 8  57  21
N 27  3  8   5
N 68  5  42  61
N 178 14 68  46
N 86  1  38  36
N 57  8  32  18
N 149 7  73  42
